Datum;Inhaber;Betreff;Betrag
20.12.2020;KFC;Ihre Bestellung bei KFC Rechnungsnummer: 6626535;-9,58 EUR
22.12.2020;NP;Rechnungsnr: 8396595;-47,06 EUR
23.12.2020;Edeka;Rechnungsnr: 2542571;-46,99 EUR
24.12.2020;Stadtbad;Eintritt Schwimmbad;-7,5 EUR
25.12.2020;Staatstheater;Staatstheater Eintritt Giro Card Transaktion: 918781626;-64,6 EUR
26.12.2020;Cinemaxx;Cinemaxx Eintritt Giro Card Transaktion: 621162863;-17,7 EUR
27.12.2020;Penny;Rechnungsnr: 5554242;-48,37 EUR
30.12.2020;Uni Mensa;Ihre Bestellung bei Uni Mensa Rechnungsnummer: 3385985;-8,34 EUR
01.01.2021;Mietskaserne am R�benacker;Miete f�r Monat: January;-750 EUR
01.01.2021;Norddeutscher Rundfunk;Rundfunkbeitrag f�r January;-18,36 EUR
02.01.2021;Stadtbad;Eintritt Schwimmbad;-7,5 EUR
02.01.2021;KFC;Ihre Bestellung bei KFC Rechnungsnummer: 2691342;-7,64 EUR
02.01.2021;VHV;Privathaftpflicht;-4,5 EUR
02.01.2021;Otto;Buchungsnr: 2379393;-25,35 EUR
03.01.2021;VfL;Ihr Mitgliedsbeitrag zum Verein f�r Leibesert�chtigung;-20 EUR
06.01.2021;Bok;Bis zum n�chsten Mal! Bok Rechnungsnummer: 5649;-19,9 EUR
09.01.2021;Stadtbad;Eintritt Schwimmbad;-7,5 EUR
10.01.2021;Netflix ltd.;Netflix;-17,99 EUR
11.01.2021;Fitness im K�sehaus;Muskelbutze Fitness im K�sehaus. Ihr Mitgliedsbeitrag f�r January;-19,99 EUR
12.01.2021;Denns;Rechnungsnr: 3208199;-141,19 EUR
14.01.2021;NOVA;Gehalt f�r Monat: January;2000 EUR
16.01.2021;Stadtbad;Eintritt Schwimmbad;-7,5 EUR
16.01.2021;Mein Sparkonto;Dauerauftrag KontoNr. 12345678;-200 EUR
17.01.2021;Paypal;Buchungsnr: 1080518;-30,48 EUR
18.01.2021;Walt Disney;Disney+;-17,99 EUR
19.01.2021;Best D�ner in Town;Ihre Bestellung bei Best D�ner in Town Rechnungsnummer: 6152860;-7,48 EUR
22.01.2021;Netto;Rechnungsnr: 9129733;-97,01 EUR
22.01.2021;Kleines Theater;Kleines Theater Eintritt Giro Card Transaktion: 917188700;-48,8 EUR
23.01.2021;Stadtbad;Eintritt Schwimmbad;-7,5 EUR
24.01.2021;Online Pharma;Vielen Dank f�r Ihren Einkauf! Rechnungsnr: 3050728;-24,9 EUR
24.01.2021;Astor;Astor Eintritt Giro Card Transaktion: 324841417;-16,9 EUR
25.01.2021;Aldi;Rechnungsnr: 9991525;-69,66 EUR
26.01.2021;Aldi;Rechnungsnr: 7856734;-95,13 EUR
29.01.2021;Paypal;Buchungsnr: 1235559;-58,17 EUR
30.01.2021;Stadtbad;Eintritt Schwimmbad;-7,5 EUR
31.01.2021;BK;Ihre Bestellung bei BK Rechnungsnummer: 4029691;-11,12 EUR
01.02.2021;Mietskaserne am R�benacker;Miete f�r Monat: February;-750 EUR
01.02.2021;Norddeutscher Rundfunk;Rundfunkbeitrag f�r February;-18,36 EUR
02.02.2021;VHV;Privathaftpflicht;-4,5 EUR
03.02.2021;Rewe;Rechnungsnr: 3362519;-44,15 EUR
03.02.2021;VfL;Ihr Mitgliedsbeitrag zum Verein f�r Leibesert�chtigung;-20 EUR
04.02.2021;Rewe;Rechnungsnr: 4941913;-39,06 EUR
04.02.2021;Stadtbad;Eintritt Schwimmbad;-7,5 EUR
06.02.2021;Netto;Rechnungsnr: 9778856;-39,11 EUR
06.02.2021;Saturn;Buchungsnr: 6526693;-64,07 EUR
06.02.2021;Saturn;Buchungsnr: 3574613;-59,83 EUR
09.02.2021;Cinemaxx;Cinemaxx Eintritt Giro Card Transaktion: 910424161;-14,9 EUR
10.02.2021;BP;Giro Card Transaktion: 313098544;-36,78 EUR
10.02.2021;Netflix ltd.;Netflix;-17,99 EUR
11.02.2021;Fitness im K�sehaus;Muskelbutze Fitness im K�sehaus. Ihr Mitgliedsbeitrag f�r February;-19,99 EUR
11.02.2021;Stadtbad;Eintritt Schwimmbad;-7,5 EUR
14.02.2021;NOVA;Gehalt f�r Monat: February;2000 EUR
14.02.2021;Faultier-Apotheke;Vielen Dank f�r Ihren Einkauf! Rechnungsnr: 1632751;-24,9 EUR
14.02.2021;KFC;Ihre Bestellung bei KFC Rechnungsnummer: 3316136;-6,21 EUR
16.02.2021;Saturn;Buchungsnr: 1648466;-50,81 EUR
16.02.2021;Mein Sparkonto;Dauerauftrag KontoNr. 12345678;-200 EUR
17.02.2021;Netto;Rechnungsnr: 4415364;-77,9 EUR
18.02.2021;Stadtbad;Eintritt Schwimmbad;-7,5 EUR
18.02.2021;Walt Disney;Disney+;-17,99 EUR
18.02.2021;Paypal;Buchungsnr: 4597611;-125,29 EUR
19.02.2021;Uni Mensa;Ihre Bestellung bei Uni Mensa Rechnungsnummer: 4139541;-6,63 EUR
19.02.2021;Best D�ner in Town;Ihre Bestellung bei Best D�ner in Town Rechnungsnummer: 7521534;-11,95 EUR
20.02.2021;MCD;Ihre Bestellung bei MCD Rechnungsnummer: 2833135;-9,75 EUR
24.02.2021;Edeka;Rechnungsnr: 9031761;-42,78 EUR
24.02.2021;Uni Mensa;Ihre Bestellung bei Uni Mensa Rechnungsnummer: 7206640;-6,86 EUR
25.02.2021;Stadtbad;Eintritt Schwimmbad;-7,5 EUR
25.02.2021;Shell;Giro Card Transaktion: 609078874;-44,33 EUR
01.03.2021;Mietskaserne am R�benacker;Miete f�r Monat: March;-750 EUR
01.03.2021;Norddeutscher Rundfunk;Rundfunkbeitrag f�r March;-18,36 EUR
02.03.2021;VHV;Privathaftpflicht;-4,5 EUR
02.03.2021;Schauspielhaus;Schauspielhaus Eintritt Giro Card Transaktion: 977371035;-19,4 EUR
02.03.2021;Paypal;Buchungsnr: 9598571;-29,87 EUR
03.03.2021;VfL;Ihr Mitgliedsbeitrag zum Verein f�r Leibesert�chtigung;-20 EUR
03.03.2021;BK;Ihre Bestellung bei BK Rechnungsnummer: 9051213;-6,65 EUR
04.03.2021;Edeka;Rechnungsnr: 1401470;-262,0 EUR
04.03.2021;Stadtbad;Eintritt Schwimmbad;-7,5 EUR
06.03.2021;MCD;Ihre Bestellung bei MCD Rechnungsnummer: 9804861;-6,88 EUR
07.03.2021;Apotheke im Zentrum;Vielen Dank f�r Ihren Einkauf! Rechnungsnr: 1698873;-24,9 EUR
07.03.2021;Paypal;Buchungsnr: 2331097;-32,08 EUR
10.03.2021;Netflix ltd.;Netflix;-17,99 EUR
11.03.2021;Fitness im K�sehaus;Muskelbutze Fitness im K�sehaus. Ihr Mitgliedsbeitrag f�r March;-19,99 EUR
11.03.2021;Stadtbad;Eintritt Schwimmbad;-7,5 EUR
13.03.2021;Uni Mensa;Ihre Bestellung bei Uni Mensa Rechnungsnummer: 6146948;-5,98 EUR
14.03.2021;NOVA;Gehalt f�r Monat: March;2000 EUR
14.03.2021;MCD;Ihre Bestellung bei MCD Rechnungsnummer: 5662775;-9,83 EUR
15.03.2021;MCD;Ihre Bestellung bei MCD Rechnungsnummer: 9837233;-10,82 EUR
15.03.2021;Aral;Giro Card Transaktion: 139593332;-55,55 EUR
16.03.2021;Shell;Giro Card Transaktion: 690090098;-58,8 EUR
16.03.2021;Mein Sparkonto;Dauerauftrag KontoNr. 12345678;-200 EUR
18.03.2021;Stadtbad;Eintritt Schwimmbad;-7,5 EUR
18.03.2021;Walt Disney;Disney+;-17,99 EUR
19.03.2021;Oeffentlicher Personennahverkehr;Ihr Ticket: 872941913;-5,9 EUR
21.03.2021;KFC;Ihre Bestellung bei KFC Rechnungsnummer: 5519276;-8,94 EUR
23.03.2021;Best D�ner in Town;Ihre Bestellung bei Best D�ner in Town Rechnungsnummer: 7446273;-8,55 EUR
25.03.2021;Stadtbad;Eintritt Schwimmbad;-7,5 EUR
28.03.2021;Amazon;Buchungsnr: 5474219;-40,04 EUR
01.04.2021;Mietskaserne am R�benacker;Miete f�r Monat: April;-750 EUR
01.04.2021;Stadtbad;Eintritt Schwimmbad;-7,5 EUR
01.04.2021;Norddeutscher Rundfunk;Rundfunkbeitrag f�r April;-18,36 EUR
02.04.2021;VHV;Privathaftpflicht;-4,5 EUR
03.04.2021;VfL;Ihr Mitgliedsbeitrag zum Verein f�r Leibesert�chtigung;-20 EUR
04.04.2021;Otto;Buchungsnr: 5766415;-37,69 EUR
05.04.2021;Best D�ner in Town;Ihre Bestellung bei Best D�ner in Town Rechnungsnummer: 8140771;-8,89 EUR
08.04.2021;Stadtbad;Eintritt Schwimmbad;-7,5 EUR
08.04.2021;Saturn;Buchungsnr: 2349355;-45,44 EUR
09.04.2021;BK;Ihre Bestellung bei BK Rechnungsnummer: 2057360;-7,56 EUR
10.04.2021;Netflix ltd.;Netflix;-17,99 EUR
11.04.2021;Fitness im K�sehaus;Muskelbutze Fitness im K�sehaus. Ihr Mitgliedsbeitrag f�r April;-19,99 EUR
11.04.2021;Paypal;Buchungsnr: 2081733;-32,19 EUR
13.04.2021;Oeffentlicher Personennahverkehr;Ihr Ticket: 256595343;-5,9 EUR
14.04.2021;NOVA;Gehalt f�r Monat: April;2000 EUR
15.04.2021;Stadtbad;Eintritt Schwimmbad;-7,5 EUR
16.04.2021;Mein Sparkonto;Dauerauftrag KontoNr. 12345678;-200 EUR
18.04.2021;Walt Disney;Disney+;-17,99 EUR
19.04.2021;MCD;Ihre Bestellung bei MCD Rechnungsnummer: 1959840;-10,67 EUR
22.04.2021;Stadtbad;Eintritt Schwimmbad;-7,5 EUR
22.04.2021;Uni Mensa;Ihre Bestellung bei Uni Mensa Rechnungsnummer: 2463789;-7,7 EUR
23.04.2021;Edeka;Rechnungsnr: 7407203;-469,0 EUR
24.04.2021;Athenopolis;Bis zum n�chsten Mal! Athenopolis Rechnungsnummer: 4790;-14,1 EUR
26.04.2021;Jet;Giro Card Transaktion: 629208235;-33,55 EUR
29.04.2021;Stadtbad;Eintritt Schwimmbad;-7,5 EUR
29.04.2021;Otto;Buchungsnr: 2556995;-35,68 EUR
30.04.2021;Online Pharma;Vielen Dank f�r Ihren Einkauf! Rechnungsnr: 3604439;-24,9 EUR
30.04.2021;Best D�ner in Town;Ihre Bestellung bei Best D�ner in Town Rechnungsnummer: 5636852;-11,54 EUR
01.05.2021;Mietskaserne am R�benacker;Miete f�r Monat: May;-750 EUR
01.05.2021;BP;Giro Card Transaktion: 194334236;-48,58 EUR
01.05.2021;Norddeutscher Rundfunk;Rundfunkbeitrag f�r May;-18,36 EUR
02.05.2021;VHV;Privathaftpflicht;-4,5 EUR
03.05.2021;VfL;Ihr Mitgliedsbeitrag zum Verein f�r Leibesert�chtigung;-20 EUR
03.05.2021;Stadtbad;Eintritt Schwimmbad;-7,5 EUR
04.05.2021;Shell;Giro Card Transaktion: 846895649;-63,14 EUR
05.05.2021;NP;Rechnungsnr: 9520876;-247,29 EUR
08.05.2021;NP;Rechnungsnr: 7546377;-216,71 EUR
08.05.2021;BK;Ihre Bestellung bei BK Rechnungsnummer: 7201109;-6,32 EUR
10.05.2021;Stadtbad;Eintritt Schwimmbad;-7,5 EUR
10.05.2021;Oeffentlicher Personennahverkehr;Ihr Ticket: 385386122;-5,9 EUR
10.05.2021;Netflix ltd.;Netflix;-17,99 EUR
11.05.2021;Fitness im K�sehaus;Muskelbutze Fitness im K�sehaus. Ihr Mitgliedsbeitrag f�r May;-19,99 EUR
14.05.2021;NOVA;Gehalt f�r Monat: May;2000 EUR
14.05.2021;Best D�ner in Town;Ihre Bestellung bei Best D�ner in Town Rechnungsnummer: 4895919;-8,45 EUR
16.05.2021;Uni Mensa;Ihre Bestellung bei Uni Mensa Rechnungsnummer: 6290296;-7,85 EUR
16.05.2021;BK;Ihre Bestellung bei BK Rechnungsnummer: 7740379;-8,57 EUR
16.05.2021;Oeffentlicher Personennahverkehr;Ihr Ticket: 309070845;-5,9 EUR
16.05.2021;Staatstheater;Staatstheater Eintritt Giro Card Transaktion: 252844221;-18,3 EUR
16.05.2021;Mein Sparkonto;Dauerauftrag KontoNr. 12345678;-200 EUR
17.05.2021;Stadtbad;Eintritt Schwimmbad;-7,5 EUR
17.05.2021;KFC;Ihre Bestellung bei KFC Rechnungsnummer: 9665441;-5,52 EUR
18.05.2021;Walt Disney;Disney+;-17,99 EUR
24.05.2021;Stadtbad;Eintritt Schwimmbad;-7,5 EUR
27.05.2021;MCD;Ihre Bestellung bei MCD Rechnungsnummer: 7040021;-7,81 EUR
27.05.2021;KFC;Ihre Bestellung bei KFC Rechnungsnummer: 1565305;-5,14 EUR
27.05.2021;Otto;Buchungsnr: 1114873;-101,0 EUR
28.05.2021;Apotheke im Zentrum;Vielen Dank f�r Ihren Einkauf! Rechnungsnr: 4442650;-24,9 EUR
29.05.2021;MCD;Ihre Bestellung bei MCD Rechnungsnummer: 2729363;-8,26 EUR
31.05.2021;Astor;Astor Eintritt Giro Card Transaktion: 743726748;-17,7 EUR
01.06.2021;Mietskaserne am R�benacker;Miete f�r Monat: June;-750 EUR
01.06.2021;Norddeutscher Rundfunk;Rundfunkbeitrag f�r June;-18,36 EUR
02.06.2021;VHV;Privathaftpflicht;-4,5 EUR
02.06.2021;Cinemaxx;Cinemaxx Eintritt Giro Card Transaktion: 496875354;-15,7 EUR
03.06.2021;VfL;Ihr Mitgliedsbeitrag zum Verein f�r Leibesert�chtigung;-20 EUR
03.06.2021;Stadtbad;Eintritt Schwimmbad;-7,5 EUR
03.06.2021;Amazon;Buchungsnr: 8425902;-38,36 EUR
04.06.2021;Oeffentlicher Personennahverkehr;Ihr Ticket: 912493386;-5,9 EUR
09.06.2021;Faultier-Apotheke;Vielen Dank f�r Ihren Einkauf! Rechnungsnr: 2425393;-24,9 EUR
10.06.2021;Stadtbad;Eintritt Schwimmbad;-7,5 EUR
10.06.2021;Netflix ltd.;Netflix;-17,99 EUR
11.06.2021;Rewe;Rechnungsnr: 9874132;-78,56 EUR
11.06.2021;Fitness im K�sehaus;Muskelbutze Fitness im K�sehaus. Ihr Mitgliedsbeitrag f�r June;-19,99 EUR
12.06.2021;KFC;Ihre Bestellung bei KFC Rechnungsnummer: 4672587;-6,09 EUR
14.06.2021;NOVA;Gehalt f�r Monat: June;2000 EUR
14.06.2021;Penny;Rechnungsnr: 4087262;-70,35 EUR
16.06.2021;Netto;Rechnungsnr: 2266353;-162,09 EUR
16.06.2021;Aral;Giro Card Transaktion: 134957586;-85,99 EUR
16.06.2021;Mein Sparkonto;Dauerauftrag KontoNr. 12345678;-200 EUR
17.06.2021;Stadtbad;Eintritt Schwimmbad;-7,5 EUR
18.06.2021;Walt Disney;Disney+;-17,99 EUR
20.06.2021;Athenopolis;Bis zum n�chsten Mal! Athenopolis Rechnungsnummer: 1460;-21,9 EUR
20.06.2021;Aral;Giro Card Transaktion: 621041871;-26,34 EUR
20.06.2021;Saturn;Buchungsnr: 2736230;-90,64 EUR
21.06.2021;KFC;Ihre Bestellung bei KFC Rechnungsnummer: 1717852;-11,66 EUR
24.06.2021;Stadtbad;Eintritt Schwimmbad;-7,5 EUR
24.06.2021;Oeffentlicher Personennahverkehr;Ihr Ticket: 998228460;-5,9 EUR
29.06.2021;KFC;Ihre Bestellung bei KFC Rechnungsnummer: 4606281;-7,32 EUR
01.07.2021;Mietskaserne am R�benacker;Miete f�r Monat: July;-750 EUR
01.07.2021;Stadtbad;Eintritt Schwimmbad;-7,5 EUR
01.07.2021;Norddeutscher Rundfunk;Rundfunkbeitrag f�r July;-18,36 EUR
02.07.2021;VHV;Privathaftpflicht;-4,5 EUR
03.07.2021;VfL;Ihr Mitgliedsbeitrag zum Verein f�r Leibesert�chtigung;-20 EUR
06.07.2021;Pizzaria Mario;Bis zum n�chsten Mal! Pizzaria Mario Rechnungsnummer: 6443;-12,0 EUR
08.07.2021;Stadtbad;Eintritt Schwimmbad;-7,5 EUR
09.07.2021;Uni Mensa;Ihre Bestellung bei Uni Mensa Rechnungsnummer: 4199378;-5,97 EUR
10.07.2021;Netflix ltd.;Netflix;-17,99 EUR
11.07.2021;Fitness im K�sehaus;Muskelbutze Fitness im K�sehaus. Ihr Mitgliedsbeitrag f�r July;-19,99 EUR
11.07.2021;BK;Ihre Bestellung bei BK Rechnungsnummer: 7357622;-7,1 EUR
12.07.2021;Paypal;Buchungsnr: 2896777;-55,36 EUR
14.07.2021;NOVA;Gehalt f�r Monat: July;2000 EUR
15.07.2021;Stadtbad;Eintritt Schwimmbad;-7,5 EUR
15.07.2021;Oeffentlicher Personennahverkehr;Ihr Ticket: 361913997;-5,9 EUR
15.07.2021;Paypal;Buchungsnr: 8052728;-61,65 EUR
16.07.2021;BK;Ihre Bestellung bei BK Rechnungsnummer: 5679488;-8,51 EUR
16.07.2021;Mein Sparkonto;Dauerauftrag KontoNr. 12345678;-200 EUR
18.07.2021;Walt Disney;Disney+;-17,99 EUR
21.07.2021;Paypal;Buchungsnr: 2086658;-60,16 EUR
22.07.2021;Stadtbad;Eintritt Schwimmbad;-7,5 EUR
23.07.2021;Oeffentlicher Personennahverkehr;Ihr Ticket: 547810791;-5,9 EUR
25.07.2021;Faultier-Apotheke;Vielen Dank f�r Ihren Einkauf! Rechnungsnr: 9724383;-24,9 EUR
25.07.2021;Amazon;Buchungsnr: 4188288;-148,83 EUR
29.07.2021;Rewe;Rechnungsnr: 1522708;-398,0 EUR
29.07.2021;Stadtbad;Eintritt Schwimmbad;-7,5 EUR
01.08.2021;Mietskaserne am R�benacker;Miete f�r Monat: August;-750 EUR
01.08.2021;Norddeutscher Rundfunk;Rundfunkbeitrag f�r August;-18,36 EUR
02.08.2021;Lidl;Rechnungsnr: 8439415;-87,79 EUR
02.08.2021;BK;Ihre Bestellung bei BK Rechnungsnummer: 7264679;-7,36 EUR
02.08.2021;VHV;Privathaftpflicht;-4,5 EUR
03.08.2021;VfL;Ihr Mitgliedsbeitrag zum Verein f�r Leibesert�chtigung;-20 EUR
04.08.2021;Stadtbad;Eintritt Schwimmbad;-7,5 EUR
05.08.2021;Best D�ner in Town;Ihre Bestellung bei Best D�ner in Town Rechnungsnummer: 8696622;-7,23 EUR
10.08.2021;Netflix ltd.;Netflix;-17,99 EUR
11.08.2021;Fitness im K�sehaus;Muskelbutze Fitness im K�sehaus. Ihr Mitgliedsbeitrag f�r August;-19,99 EUR
11.08.2021;Stadtbad;Eintritt Schwimmbad;-7,5 EUR
14.08.2021;NOVA;Gehalt f�r Monat: August;2000 EUR
14.08.2021;Rewe;Rechnungsnr: 9682509;-41,04 EUR
15.08.2021;BK;Ihre Bestellung bei BK Rechnungsnummer: 1758268;-11,29 EUR
15.08.2021;Otto;Buchungsnr: 5188750;-256,58 EUR
16.08.2021;Netto;Rechnungsnr: 8945822;-43,64 EUR
16.08.2021;Faultier-Apotheke;Vielen Dank f�r Ihren Einkauf! Rechnungsnr: 8354881;-24,9 EUR
16.08.2021;Mein Sparkonto;Dauerauftrag KontoNr. 12345678;-200 EUR
18.08.2021;Stadtbad;Eintritt Schwimmbad;-7,5 EUR
18.08.2021;Walt Disney;Disney+;-17,99 EUR
19.08.2021;Denns;Rechnungsnr: 3889764;-44,63 EUR
21.08.2021;Denns;Rechnungsnr: 4540737;-44,9 EUR
21.08.2021;Oeffentlicher Personennahverkehr;Ihr Ticket: 925563867;-5,9 EUR
24.08.2021;Best D�ner in Town;Ihre Bestellung bei Best D�ner in Town Rechnungsnummer: 1912884;-8,23 EUR
25.08.2021;Stadtbad;Eintritt Schwimmbad;-7,5 EUR
25.08.2021;KFC;Ihre Bestellung bei KFC Rechnungsnummer: 2270810;-11,37 EUR
27.08.2021;Kleines Theater;Kleines Theater Eintritt Giro Card Transaktion: 665722107;-35,8 EUR
28.08.2021;Uni Mensa;Ihre Bestellung bei Uni Mensa Rechnungsnummer: 5527194;-7,27 EUR
28.08.2021;Uni Mensa;Ihre Bestellung bei Uni Mensa Rechnungsnummer: 9952326;-5,98 EUR
29.08.2021;BK;Ihre Bestellung bei BK Rechnungsnummer: 2899770;-8,15 EUR
30.08.2021;Saturn;Buchungsnr: 4213546;-107,42 EUR
01.09.2021;Mietskaserne am R�benacker;Miete f�r Monat: September;-750 EUR
01.09.2021;VHV;Abbuchung Ihrer Vollkasko Versicherung f�r das KFZ mit dem Kennzeichen: ABC - 1234;-546 EUR
01.09.2021;Norddeutscher Rundfunk;Rundfunkbeitrag f�r September;-18,36 EUR
02.09.2021;Stadtbad;Eintritt Schwimmbad;-7,5 EUR
02.09.2021;VHV;Privathaftpflicht;-4,5 EUR
02.09.2021;Otto;Buchungsnr: 3432847;-44,8 EUR
03.09.2021;VfL;Ihr Mitgliedsbeitrag zum Verein f�r Leibesert�chtigung;-20 EUR
03.09.2021;Best D�ner in Town;Ihre Bestellung bei Best D�ner in Town Rechnungsnummer: 2136080;-5,81 EUR
09.09.2021;Stadtbad;Eintritt Schwimmbad;-7,5 EUR
09.09.2021;Cinemaxx;Cinemaxx Eintritt Giro Card Transaktion: 314416347;-14,3 EUR
10.09.2021;Netflix ltd.;Netflix;-17,99 EUR
11.09.2021;Fitness im K�sehaus;Muskelbutze Fitness im K�sehaus. Ihr Mitgliedsbeitrag f�r September;-19,99 EUR
14.09.2021;NOVA;Gehalt f�r Monat: September;2000 EUR
15.09.2021;Uni Mensa;Ihre Bestellung bei Uni Mensa Rechnungsnummer: 4876500;-9,82 EUR
15.09.2021;Paypal;Buchungsnr: 7636318;-35,99 EUR
16.09.2021;Stadtbad;Eintritt Schwimmbad;-7,5 EUR
16.09.2021;Mein Sparkonto;Dauerauftrag KontoNr. 12345678;-200 EUR
18.09.2021;Walt Disney;Disney+;-17,99 EUR
23.09.2021;Online Pharma;Vielen Dank f�r Ihren Einkauf! Rechnungsnr: 3898833;-24,9 EUR
23.09.2021;Stadtbad;Eintritt Schwimmbad;-7,5 EUR
23.09.2021;Amazon;Buchungsnr: 9995408;-29,21 EUR
24.09.2021;Oeffentlicher Personennahverkehr;Ihr Ticket: 937802041;-5,9 EUR
25.09.2021;MCD;Ihre Bestellung bei MCD Rechnungsnummer: 3248904;-11,63 EUR
27.09.2021;Penny;Rechnungsnr: 2637496;-389,0 EUR
01.10.2021;Mietskaserne am R�benacker;Miete f�r Monat: October;-750 EUR
01.10.2021;Oeffentlicher Personennahverkehr;Ihr Ticket: 419896716;-5,9 EUR
01.10.2021;Norddeutscher Rundfunk;Rundfunkbeitrag f�r October;-18,36 EUR
02.10.2021;Stadtbad;Eintritt Schwimmbad;-7,5 EUR
02.10.2021;VHV;Privathaftpflicht;-4,5 EUR
02.10.2021;Saturn;Buchungsnr: 8857343;-99,43 EUR
03.10.2021;VfL;Ihr Mitgliedsbeitrag zum Verein f�r Leibesert�chtigung;-20 EUR
03.10.2021;Oeffentlicher Personennahverkehr;Ihr Ticket: 561801085;-5,9 EUR
04.10.2021;Paypal;Buchungsnr: 6631532;-162,18 EUR
07.10.2021;Oeffentlicher Personennahverkehr;Ihr Ticket: 223522447;-5,9 EUR
09.10.2021;Apotheke im Zentrum;Vielen Dank f�r Ihren Einkauf! Rechnungsnr: 9567329;-24,9 EUR
09.10.2021;Stadtbad;Eintritt Schwimmbad;-7,5 EUR
10.10.2021;Netflix ltd.;Netflix;-17,99 EUR
11.10.2021;Penny;Rechnungsnr: 5814527;-86,46 EUR
11.10.2021;Fitness im K�sehaus;Muskelbutze Fitness im K�sehaus. Ihr Mitgliedsbeitrag f�r October;-19,99 EUR
12.10.2021;KFC;Ihre Bestellung bei KFC Rechnungsnummer: 4500956;-7,93 EUR
14.10.2021;NOVA;Gehalt f�r Monat: October;2000 EUR
14.10.2021;Paypal;Buchungsnr: 1052416;-101,39 EUR
16.10.2021;Stadtbad;Eintritt Schwimmbad;-7,5 EUR
16.10.2021;Mein Sparkonto;Dauerauftrag KontoNr. 12345678;-200 EUR
18.10.2021;Walt Disney;Disney+;-17,99 EUR
22.10.2021;NP;Rechnungsnr: 8723475;-89,3 EUR
23.10.2021;Stadtbad;Eintritt Schwimmbad;-7,5 EUR
24.10.2021;Aldi;Rechnungsnr: 1605012;-163,97 EUR
30.10.2021;Netto;Rechnungsnr: 5962276;-109,27 EUR
30.10.2021;Stadtbad;Eintritt Schwimmbad;-7,5 EUR
01.11.2021;Mietskaserne am R�benacker;Miete f�r Monat: November;-750 EUR
01.11.2021;MCD;Ihre Bestellung bei MCD Rechnungsnummer: 4787740;-7,57 EUR
01.11.2021;Zoll;Ihre KFZ Steuer f�r das Kennzeichen: ABC - 1234;-52 EUR
01.11.2021;Norddeutscher Rundfunk;Rundfunkbeitrag f�r November;-18,36 EUR
02.11.2021;VHV;Privathaftpflicht;-4,5 EUR
03.11.2021;Rewe;Rechnungsnr: 3229646;-150,61 EUR
03.11.2021;VfL;Ihr Mitgliedsbeitrag zum Verein f�r Leibesert�chtigung;-20 EUR
04.11.2021;Stadtbad;Eintritt Schwimmbad;-7,5 EUR
07.11.2021;Faultier-Apotheke;Vielen Dank f�r Ihren Einkauf! Rechnungsnr: 4776823;-24,9 EUR
10.11.2021;Netflix ltd.;Netflix;-17,99 EUR
10.11.2021;Astor;Astor Eintritt Giro Card Transaktion: 817204547;-15,8 EUR
11.11.2021;Fitness im K�sehaus;Muskelbutze Fitness im K�sehaus. Ihr Mitgliedsbeitrag f�r November;-19,99 EUR
11.11.2021;Stadtbad;Eintritt Schwimmbad;-7,5 EUR
11.11.2021;Oeffentlicher Personennahverkehr;Ihr Ticket: 152533358;-5,9 EUR
12.11.2021;Oeffentlicher Personennahverkehr;Ihr Ticket: 756938680;-5,9 EUR
14.11.2021;NOVA;Gehalt f�r Monat: November inkl. Sonderzahlung;3740,0 EUR
16.11.2021;BK;Ihre Bestellung bei BK Rechnungsnummer: 5145740;-5,46 EUR
16.11.2021;Uni Mensa;Ihre Bestellung bei Uni Mensa Rechnungsnummer: 4184875;-9,28 EUR
16.11.2021;Mein Sparkonto;Dauerauftrag KontoNr. 12345678;-200 EUR
17.11.2021;Uni Mensa;Ihre Bestellung bei Uni Mensa Rechnungsnummer: 1039056;-5,8 EUR
17.11.2021;KFC;Ihre Bestellung bei KFC Rechnungsnummer: 9290983;-11,82 EUR
17.11.2021;Oeffentlicher Personennahverkehr;Ihr Ticket: 869276860;-5,9 EUR
17.11.2021;Amazon;Buchungsnr: 9857354;-361,0 EUR
18.11.2021;Stadtbad;Eintritt Schwimmbad;-7,5 EUR
18.11.2021;Walt Disney;Disney+;-17,99 EUR
20.11.2021;NP;Rechnungsnr: 8144189;-90,39 EUR
22.11.2021;BK;Ihre Bestellung bei BK Rechnungsnummer: 5227834;-8,4 EUR
23.11.2021;MCD;Ihre Bestellung bei MCD Rechnungsnummer: 8046370;-9,67 EUR
25.11.2021;Stadtbad;Eintritt Schwimmbad;-7,5 EUR
26.11.2021;BK;Ihre Bestellung bei BK Rechnungsnummer: 4668112;-7,94 EUR
01.12.2021;Mietskaserne am R�benacker;Miete f�r Monat: December;-750 EUR
01.12.2021;Norddeutscher Rundfunk;Rundfunkbeitrag f�r December;-18,36 EUR
02.12.2021;Stadtbad;Eintritt Schwimmbad;-7,5 EUR
02.12.2021;VHV;Privathaftpflicht;-4,5 EUR
03.12.2021;VfL;Ihr Mitgliedsbeitrag zum Verein f�r Leibesert�chtigung;-20 EUR
05.12.2021;Aldi;Rechnungsnr: 5682143;-145,66 EUR
07.12.2021;Lidl;Rechnungsnr: 8099732;-90,33 EUR
09.12.2021;Stadtbad;Eintritt Schwimmbad;-7,5 EUR
10.12.2021;Apotheke im Zentrum;Vielen Dank f�r Ihren Einkauf! Rechnungsnr: 6140078;-24,9 EUR
10.12.2021;Netflix ltd.;Netflix;-17,99 EUR
